house_number,street_name,block
1,JALAN PRIMA 1,KELABU
2,JALAN PRIMA 1,KELABU
3,JALAN PRIMA 1,KELABU
4,JALAN PRIMA 1,KELABU
5,JALAN PRIMA 1,KELABU
6,JALAN PRIMA 1,KELABU
7,JALAN PRIMA 1,KELABU
8,JALAN PRIMA 1,KELABU
9,JALAN PRIMA 1,KELABU
10,JALAN PRIMA 1,KELABU
11,JALAN PRIMA 1,KELABU
12,JALAN PRIMA 1,KELABU
13,JALAN PRIMA 1,KELABU
14,JALAN PRIMA 1,KELABU
15,JALAN PRIMA 1,KELABU
16,JALAN PRIMA 1,KELABU
17,JALAN PRIMA 1,KELABU
18,JALAN PRIMA 1,KELABU
19,JALAN PRIMA 1,KELABU
20,JALAN PRIMA 1,KELABU
21,JALAN PRIMA 1,KELABU
22,JALAN PRIMA 1,KELABU
23,JALAN PRIMA 1,KELABU
24,JALAN PRIMA 1,KELABU
25,JALAN PRIMA 1,KELABU
26,JALAN PRIMA 1,KELABU
27,JALAN PRIMA 1,KELABU
28,JALAN PRIMA 1,KELABU
29,JALAN PRIMA 2,KELABU
30,JALAN PRIMA 2,KELABU
31,JALAN PRIMA 2,KELABU
32,JALAN PRIMA 2,KELABU
33,JALAN PRIMA 2,KELABU
34,JALAN PRIMA 2,KELABU
35,JALAN PRIMA 2,KELABU
36,JALAN PRIMA 2,KELABU
37,JALAN PRIMA 2,KELABU
38,JALAN PRIMA 2,KELABU
39,JALAN PRIMA 2,KELABU
40,JALAN PRIMA 2,KELABU
41,JALAN PRIMA 2,KELABU
42,JALAN PRIMA 2,KELABU
43,JALAN PRIMA 2,KELABU
44,JALAN PRIMA 2,KELABU
45,JALAN PRIMA 2,KELABU
46,JALAN PRIMA 2,KELABU
47,JALAN PRIMA 2,KELABU
48,JALAN PRIMA 2,KELABU
49,JALAN PRIMA 2,KELABU
50,JALAN PRIMA 2,KELABU
51,JALAN PRIMA 2,KELABU
52,JALAN PRIMA 2,KELABU
53,JALAN PRIMA 2,KELABU
54,JALAN PRIMA 2,KELABU
55,JALAN PRIMA 2,KELABU
56,JALAN PRIMA 2,KELABU
57,JALAN PRIMA 2,KELABU
58,JALAN PRIMA 2,KELABU
59,JALAN PRIMA 2,KELABU
60,JALAN PRIMA 2,KELABU
61,JALAN PRIMA 2,KELABU
62,JALAN PRIMA 2,KELABU
63,JALAN PRIMA 2,KELABU
64,JALAN PRIMA 2,KELABU
65,JALAN PRIMA 2,KELABU
66,JALAN PRIMA 2,KELABU
67,JALAN PRIMA 2,KELABU
68,JALAN PRIMA 2,KELABU
69,JALAN PRIMA 2,KELABU
70,JALAN PRIMA 2,KELABU
71,JALAN PRIMA 2,KELABU
72,JALAN PRIMA 2,KELABU
73,JALAN PRIMA 2,KELABU
74,JALAN PRIMA 2,KELABU
75,JALAN PRIMA 2,KELABU
76,JALAN PRIMA 2,KELABU
77,JALAN PRIMA 2,KELABU
78,JALAN PRIMA 2,KELABU
79,JALAN PRIMA 2,KELABU
80,JALAN PRIMA 2,KELABU
81,JALAN PRIMA 2,KELABU
82,JALAN PRIMA 2,KELABU
83,JALAN PRIMA 2,KELABU
84,JALAN PRIMA 2,KELABU
85,JALAN PRIMA 2,KELABU
86,JALAN PRIMA 2,KELABU
87,JALAN PRIMA 2,KELABU
88,JALAN PRIMA 2,KELABU
89,JALAN PRIMA 2,KELABU
90,JALAN PRIMA 2,KELABU
91,JALAN PRIMA 2,KELABU
92,JALAN PRIMA 2,KELABU
93,JALAN PRIMA 2,KELABU
94,JALAN PRIMA 2,KELABU
95,JALAN PRIMA 2,KELABU
96,JALAN PRIMA 3,KELABU
97,JALAN PRIMA 3,KELABU
98,JALAN PRIMA 3,KELABU
99,JALAN PRIMA 3,KELABU
100,JALAN PRIMA 3,KELABU
101,JALAN PRIMA 3,KELABU
102,JALAN PRIMA 3,KELABU
103,JALAN PRIMA 3,KELABU
104,JALAN PRIMA 3,KELABU
105,JALAN PRIMA 3,KELABU
106,JALAN PRIMA 3,KELABU
107,JALAN PRIMA 3,KELABU
108,JALAN PRIMA 3,KELABU
109,JALAN PRIMA 3,KELABU
110,JALAN PRIMA 3,KELABU
111,JALAN PRIMA 3,KELABU
112,JALAN PRIMA 3,KELABU
113,JALAN PRIMA 3,KELABU
114,JALAN PRIMA 3,KELABU
115,JALAN PRIMA 3,KELABU
116,JALAN PRIMA 3,KELABU
117,JALAN PRIMA 3,KELABU
118,JALAN PRIMA 3,KELABU
119,JALAN PRIMA 3,KELABU
120,JALAN PRIMA 3,KELABU
121,JALAN PRIMA 3,KELABU
122,JALAN PRIMA 3,KELABU
123,JALAN PRIMA 3,KELABU
124,JALAN PRIMA 3,KELABU
125,JALAN PRIMA 3,KELABU
126,JALAN PRIMA 3,KELABU
127,JALAN PRIMA 3,KELABU
128,JALAN PRIMA 3,KELABU
129,JALAN PRIMA 3,KELABU
130,JALAN PRIMA 3,KELABU
131,JALAN PRIMA 3,KELABU
132,JALAN PRIMA 3,KELABU
133,JALAN PRIMA 3,KELABU
134,JALAN PRIMA 3,KELABU
135,JALAN PRIMA 3,KELABU
136,JALAN PRIMA 3,KELABU
137,JALAN PRIMA 3,KELABU
138,JALAN PRIMA 3,KELABU
139,JALAN PRIMA 3,KELABU
140,JALAN PRIMA 3,KELABU
141,JALAN PRIMA 3,KELABU
142,JALAN PRIMA 3,KELABU
143,JALAN PRIMA 3,KELABU
144,JALAN PRIMA 3,KELABU
145,JALAN PRIMA 3,KELABU
146,JALAN PRIMA 3,KELABU
147,JALAN PRIMA 3,KELABU
148,JALAN PRIMA 3,KELABU
149,JALAN PRIMA 3,KELABU
150,JALAN PRIMA 4,KELABU
151,JALAN PRIMA 4,KELABU
152,JALAN PRIMA 4,KELABU
153,JALAN PRIMA 4,KELABU
154,JALAN PRIMA 4,KELABU
155,JALAN PRIMA 4,KELABU
156,JALAN PRIMA 4,KELABU
157,JALAN PRIMA 4,KELABU
158,JALAN PRIMA 4,KELABU
159,JALAN PRIMA 4,KELABU
160,JALAN PRIMA 4,KELABU
161,JALAN PRIMA 5,KELABU
162,JALAN PRIMA 5,KELABU
163,JALAN PRIMA 5,KELABU
164,JALAN PRIMA 5,KELABU
165,JALAN PRIMA 5,KELABU
166,JALAN PRIMA 5,KELABU
167,JALAN PRIMA 5,KELABU
168,JALAN PRIMA 5,KELABU
169,JALAN PRIMA 5,KELABU
170,JALAN PRIMA 5,KELABU
171,JALAN PRIMA 5,KELABU
172,JALAN PRIMA 5,KELABU
173,JALAN PRIMA 5,KELABU
174,JALAN PRIMA 5,KELABU
175,JALAN PRIMA 5,KELABU
176,JALAN PRIMA 5,KELABU
177,JALAN PRIMA 5,KELABU
178,JALAN PRIMA 6,KELABU
179,JALAN PRIMA 6,KELABU
180,JALAN PRIMA 6,KELABU
181,JALAN PRIMA 6,KELABU
182,JALAN PRIMA 6,KELABU
183,JALAN PRIMA 6,KELABU
184,JALAN PRIMA 6,KELABU
185,JALAN PRIMA 6,KELABU
186,JALAN PRIMA 6,KELABU
187,JALAN PRIMA 6,KELABU
188,JALAN PRIMA 6,KELABU
189,JALAN PRIMA 6,KELABU
190,JALAN PRIMA 6,KELABU
191,JALAN PRIMA 6,KELABU
192,JALAN PRIMA 6,KELABU
193,JALAN PRIMA 6,KELABU
194,JALAN PRIMA 6,KELABU
195,JALAN PRIMA 6,KELABU
196,JALAN PRIMA 6,KELABU
197,JALAN PRIMA 6,KELABU
198,JALAN PRIMA 6,KELABU
199,JALAN PRIMA 6,KELABU
200,JALAN PRIMA 6,KELABU
201,JALAN PRIMA 6,KELABU
